Team #,CMP,Event,P(DCMP)
4,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.268836
8,2026cancmp,FIRST California Northern State Championship,0.991101
22,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.231375
100,2026cancmp,FIRST California Northern State Championship,0.444674
840,2026cancmp,FIRST California Northern State Championship,0.422344
670,2026cancmp,FIRST California Northern State Championship,0.455132
980,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.356774
701,2026cancmp,FIRST California Northern State Championship,0.252082
841,2026cancmp,FIRST California Northern State Championship,0.444321
751,2026cancmp,FIRST California Northern State Championship,0.181932
971,2026cancmp,FIRST California Northern State Championship,1
581,2026cancmp,FIRST California Northern State Championship,0.89241
691,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.209701
702,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.571492
812,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.275328
852,2026cancmp,FIRST California Northern State Championship,0.231797
972,2026cancmp,FIRST California Northern State Championship,0.66535
192,2026cancmp,FIRST California Northern State Championship,0.318299
253,2026cancmp,FIRST California Northern State Championship,0.0725996
973,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.90926
604,2026cancmp,FIRST California Northern State Championship,1
114,2026cancmp,FIRST California Northern State Championship,0.411049
254,2026cancmp,FIRST California Northern State Championship,0.915712
294,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.780338
115,2026cancmp,FIRST California Northern State Championship,0.402237
846,2026cancmp,FIRST California Northern State Championship,0.675189
766,2026cancmp,FIRST California Northern State Championship,0.66535
696,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.755338
867,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.135289
687,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.560372
597,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.394551
668,2026cancmp,FIRST California Northern State Championship,0.411049
968,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.0995736
649,2026cancmp,FIRST California Northern State Championship,0.466197
589,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.590099
199,2026cancmp,FIRST California Northern State Championship,0.230699
399,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.736794
599,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.502115
6000,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.23845
9400,2026cancmp,FIRST California Northern State Championship,0.351251
5500,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.275328
1700,2026cancmp,FIRST California Northern State Championship,0.27878
5700,2026cancmp,FIRST California Northern State Championship,0.26569
6410,2026cancmp,FIRST California Northern State Championship,0.266178
2710,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.838882
3020,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.0711995
6220,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.168189
9520,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.331802
