Team #,CMP,Event,P(DCMP),P(CMP)
4,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",1,0.0959703
8,2026cancmp,"FIRST California Northern State Championship",0.983806,0.419731
22,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0,0
100,2026cancmp,"FIRST California Northern State Championship",0,0
840,2026cancmp,"FIRST California Northern State Championship",1,0.158595
670,2026cancmp,"FIRST California Northern State Championship",1,0.0959703
980,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.359675,0.0255943
701,2026cancmp,"FIRST California Northern State Championship",0.183207,0.0146853
841,2026cancmp,"FIRST California Northern State Championship",0.658431,0.0955005
751,2026cancmp,"FIRST California Northern State Championship",0.13147,0.0124363
971,2026cancmp,"FIRST California Northern State Championship",1,0.333384
581,2026cancmp,"FIRST California Northern State Championship",1,0.928563
691,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.0361998,0.00179515
702,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.197833,0.0117101
812,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",1,0.0258415
852,2026cancmp,"FIRST California Northern State Championship",0.183207,0.0146853
972,2026cancmp,"FIRST California Northern State Championship",0.96423,0.274332
192,2026cancmp,"FIRST California Northern State Championship",0.774312,0.131143
253,2026cancmp,"FIRST California Northern State Championship",0.991358,0.438272
973,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",1,0.829104
604,2026cancmp,"FIRST California Northern State Championship",1,0.978984
114,2026cancmp,"FIRST California Northern State Championship",1,0.418548
254,2026cancmp,"FIRST California Northern State Championship",1,0.994801
294,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.999799,0.42013
115,2026cancmp,"FIRST California Northern State Championship",0.631304,0.0846063
846,2026cancmp,"FIRST California Northern State Championship",0.842425,0.193368
766,2026cancmp,"FIRST California Northern State Championship",1,0.0959703
696,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.927744,0.190188
867,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0,0
687,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",1,0.666641
